Graph contains edges with negative weight.
Shortest paths lengths:
20 - 30: 31
20 - 31: 35
20 - 32: 34
20 - 33: 27
20 - 34: 40
20 - 35: 30
20 - 40: 46
20 - 41: 59
20 - 43: 6
20 - 45: 30
20 - 47: 44
21 - 2: 43
21 - 5: 30
21 - 8: 71
21 - 10: 11
21 - 12: 35
21 - 13: 42
21 - 14: 51
21 - 15: 12
21 - 18: 39
21 - 19: 3
21 - 23: 26
21 - 24: 59
21 - 26: 36
21 - 27: 44
21 - 28: 70
21 - 29: 45
21 - 30: 27
21 - 31: 31
21 - 32: 30
21 - 33: 14
21 - 34: 36
21 - 35: 26
21 - 40: 42
21 - 41: 55
21 - 45: 26
21 - 47: 40
22 - 2: 41
22 - 5: 28
22 - 8: 69
22 - 10: 9
22 - 12: 33
22 - 13: 40
22 - 14: 49
22 - 15: 47
22 - 18: 37
22 - 23: 24
22 - 24: 57
22 - 26: 34
22 - 27: 42
22 - 28: 68
22 - 29: 43
22 - 30: 25
22 - 31: 29
22 - 32: 28
22 - 33: 8
22 - 34: 34
22 - 35: 24
22 - 39: 5
22 - 40: 40
22 - 41: 53
22 - 45: 24
22 - 46: 12
22 - 47: 38
23 - 2: 17
23 - 5: 4
23 - 8: 45
23 - 12: 9
23 - 13: 16
23 - 14: 25
23 - 15: 23
23 - 18: 13
23 - 24: 33
23 - 26: 10
23 - 27: 18
23 - 28: 44
23 - 29: 19
23 - 30: 1
23 - 31: 5
23 - 32: 4
23 - 34: 10
23 - 35: 0
23 - 40: 16
23 - 41: 29
23 - 45: 0
23 - 47: 14
24 - 8: 12
25 - 33: 18
25 - 39: 15
25 - 40: 6
25 - 46: 22
25 - 15: 0
25 - 27: -5
26 - 2: 7
26 - 5: 18
26 - 8: 59
26 - 12: 9
26 - 13: 30
26 - 14: 15
26 - 15: 37
26 - 18: 3
26 - 23: 14
26 - 24: 47
26 - 27: 32
26 - 28: 58
26 - 29: 33
26 - 30: 15
26 - 31: 19
26 - 32: 18
26 - 34: 24
26 - 35: 0
26 - 40: 30
26 - 41: 43
26 - 45: 14
26 - 47: 28
27 - 40: 11
27 - 15: 5
29 - 2: 11
29 - 5: -15
29 - 8: 39
29 - 12: 3
29 - 13: 10
29 - 14: 19
29 - 15: 17
29 - 18: 7
29 - 23: -6
29 - 24: 27
29 - 26: 4
29 - 27: 12
29 - 28: 38
29 - 30: -5
29 - 31: -1
29 - 32: -2
29 - 34: 4
29 - 35: -6
29 - 40: 10
29 - 41: 23
29 - 45: -6
29 - 47: 8
30 - 2: 29
30 - 5: 3
30 - 8: 44
30 - 12: 8
30 - 13: 15
30 - 14: 37
30 - 15: 22
30 - 18: 25
30 - 23: 12
30 - 24: 32
30 - 26: 22
30 - 27: 17
30 - 28: 43
30 - 29: 18
30 - 31: 4
30 - 32: 3
30 - 34: 9
30 - 35: -1
30 - 40: 15
30 - 41: 28
30 - 45: -1
30 - 47: 26
31 - 2: 25
31 - 5: -1
31 - 8: 40
31 - 12: 4
31 - 13: 11
31 - 14: 33
31 - 15: 18
31 - 18: 21
31 - 23: 8
31 - 24: 28
31 - 26: 18
31 - 27: 13
31 - 28: 39
31 - 29: 14
31 - 30: 9
31 - 32: -1
31 - 34: 5
31 - 35: -5
31 - 40: 11
31 - 41: 24
31 - 45: -5
31 - 47: 22
32 - 2: 26
32 - 5: 0
32 - 8: 54
32 - 12: 18
32 - 13: 25
32 - 14: 34
32 - 15: 32
32 - 18: 22
32 - 23: 9
32 - 24: 42
32 - 26: 19
32 - 27: 27
32 - 28: 53
32 - 29: 15
32 - 30: 10
32 - 31: 14
32 - 34: 19
32 - 35: 9
32 - 40: 25
32 - 41: 38
32 - 45: 9
32 - 47: 23
34 - 2: 20
34 - 5: -6
34 - 8: 35
34 - 12: -1
34 - 13: 6
34 - 14: 28
34 - 15: 26
34 - 18: 16
34 - 23: 3
34 - 24: 23
34 - 26: 13
34 - 27: 21
34 - 28: 34
34 - 29: 9
34 - 30: 4
34 - 31: 8
34 - 32: -6
34 - 35: -10
34 - 40: 19
34 - 41: 19
34 - 45: -10
34 - 47: 17
35 - 12: 9
36 - 2: 30
36 - 5: 4
36 - 8: 58
36 - 12: 22
36 - 13: 29
36 - 14: 38
36 - 15: 36
36 - 18: 26
36 - 23: 13
36 - 24: 46
36 - 26: 23
36 - 27: 31
36 - 28: 57
36 - 29: 32
36 - 30: 14
36 - 31: 18
36 - 32: 17
36 - 34: 23
36 - 35: 13
36 - 40: 29
36 - 41: 42
36 - 45: 13
36 - 47: 27
37 - 8: 19
37 - 41: 3
37 - 13: -10
37 - 24: 7
37 - 28: 18
38 - 2: 21
38 - 5: -5
38 - 8: 49
38 - 9: 5
38 - 10: 3
38 - 12: 13
38 - 13: 20
38 - 14: 29
38 - 15: 27
38 - 18: 17
38 - 23: 4
38 - 24: 37
38 - 26: 14
38 - 27: 22
38 - 28: 48
38 - 29: 10
38 - 30: 5
38 - 31: 9
38 - 32: 8
38 - 34: 14
38 - 35: 4
38 - 40: 20
38 - 41: 33
38 - 45: 4
38 - 47: 18
39 - 33: 3
39 - 46: 7
40 - 27: 2
40 - 15: 7
41 - 8: 16
41 - 24: 4
41 - 28: 15
42 - 2: 51
42 - 3: 15
42 - 5: 25
42 - 8: 79
42 - 12: 43
42 - 13: 50
42 - 14: 59
42 - 15: 57
42 - 17: 26
42 - 18: 47
42 - 23: 34
42 - 24: 67
42 - 26: 44
42 - 27: 52
42 - 28: 78
42 - 29: 40
42 - 30: 35
42 - 31: 39
42 - 32: 25
42 - 34: 44
42 - 35: 34
42 - 40: 50
42 - 41: 63
42 - 45: 21
42 - 47: 48
43 - 2: 41
43 - 5: 15
43 - 8: 69
43 - 12: 33
43 - 13: 40
43 - 14: 49
43 - 15: 47
43 - 18: 37
43 - 23: 24
43 - 24: 57
43 - 26: 34
43 - 27: 42
43 - 28: 68
43 - 29: 43
43 - 30: 25
43 - 31: 29
43 - 32: 28
43 - 34: 34
43 - 35: 24
43 - 40: 40
43 - 41: 53
43 - 45: 24
43 - 47: 38
44 - 19: 9
44 - 15: 18
45 - 2: 30
45 - 5: 4
45 - 8: 58
45 - 12: 22
45 - 13: 29
45 - 14: 38
45 - 15: 36
45 - 18: 26
45 - 23: 13
45 - 24: 46
45 - 26: 23
45 - 27: 31
45 - 28: 57
45 - 29: 19
45 - 30: 14
45 - 31: 18
45 - 32: 4
45 - 34: 23
45 - 35: 13
45 - 40: 29
45 - 41: 42
45 - 47: 27
47 - 2: 16
47 - 5: -10
47 - 8: 31
47 - 12: -5
47 - 13: 2
47 - 14: 24
47 - 15: 9
47 - 18: 12
47 - 23: -1
47 - 24: 19
47 - 26: 9
47 - 27: 4
47 - 28: 30
47 - 29: 5
47 - 30: -13
47 - 31: -9
47 - 32: -10
47 - 34: -4
47 - 35: -14
47 - 40: 2
47 - 41: 15
47 - 45: -14
48 - 37: 12
48 - 8: 31
48 - 41: 15
48 - 12: -12
48 - 13: 2
48 - 24: 19
48 - 28: 30
49 - 2: 5
49 - 3: 13
49 - 5: -21
49 - 7: 22
49 - 8: 33
49 - 10: 7
49 - 12: -3
49 - 13: 4
49 - 14: 13
49 - 15: 11
49 - 16: 16
49 - 17: 24
49 - 18: 1
49 - 22: -2
49 - 23: -12
49 - 24: 21
49 - 26: -2
49 - 27: 6
49 - 28: 32
49 - 29: -6
49 - 30: -11
49 - 31: -7
49 - 32: -8
49 - 33: 6
49 - 34: -2
49 - 35: -12
49 - 39: 3
49 - 40: 4
49 - 41: 17
49 - 45: -12
49 - 46: 10
49 - 47: 2
49 - 50: 7
50 - 2: 32
50 - 5: 19
50 - 7: 15
50 - 8: 60
50 - 10: 0
50 - 12: 24
50 - 13: 31
50 - 14: 40
50 - 15: 25
50 - 16: 9
50 - 18: 28
50 - 22: -9
50 - 23: 15
50 - 24: 48
50 - 26: 25
50 - 27: 20
50 - 28: 59
50 - 29: 34
50 - 30: 16
50 - 31: 20
50 - 32: 19
50 - 33: -1
50 - 34: 25
50 - 35: 15
50 - 39: -4
50 - 40: 31
50 - 41: 44
50 - 45: 15
50 - 46: 3
50 - 47: 29
